step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
101,40468,404,0.02999303925826996,0.75,0.75,,,,,
102,40888,408,0.02779679903242423,0.25,0.25,,,,,
103,41340,412,0.031565553562139546,0.25,0.25,,,,,
104,41792,416,0.02414147737321033,0.0,0.0,,,,,
105,42244,420,0.03146858313297522,0.75,0.75,0.02658456204868449,0.25,0.25,,
106,42696,424,0.03363759535157023,0.25,0.25,,,,,
107,43148,428,0.03483811758367283,0.25,0.25,,,,,
108,43568,432,0.029266192364991814,0.75,0.75,,,,,
109,43988,436,0.03133533900441063,0.5,0.5,,,,,
110,44568,440,0.02289565114082684,0.5,0.5,,,,,
111,45020,444,0.034667575368578445,0.25,0.25,,,,,
112,45408,448,0.027816082118360255,0.5,0.5,,,,,
113,45860,452,0.029999053224913808,0.75,0.75,0.028146346805045255,0.75,0.75,,
114,46280,456,0.03487233244005735,0.5,0.5,,,,,
115,46764,460,0.029338523490837817,0.75,0.75,,,,,
116,47152,464,0.02905712304395744,0.25,0.25,,,,,
117,47412,468,0.037458779093592506,0.0,0.0,,,,,
118,47896,472,0.0226006706430021,0.25,0.25,,,,,
119,48252,476,0.034429171945763004,0.25,0.25,,,,,
120,48672,480,0.02917052714725252,0.5,0.5,,,,,
121,49124,484,0.028621754299274473,0.25,0.25,0.03539995821769166,0.5,0.5,,
122,49288,488,0.06291587663032591,0.0,0.0,,,,,
123,49676,492,0.027789082443549187,0.5,0.5,,,,,
124,50096,496,0.03695529204713204,0.25,0.25,,,,,
125,50420,500,0.03543968103672046,0.5,0.5,,,,,
126,50840,504,0.028452730960986387,0.5,0.5,,,,,
127,51260,508,0.02477238710489412,1.0,1.0,,,,,
128,51712,512,0.025239476470718985,0.5,0.5,,,,,
129,52164,516,0.027313453557564378,0.25,0.25,0.030255504304735188,0.5,0.5,,
130,52552,520,0.027480524097375867,0.5,0.5,,,,,
131,53004,524,0.027226053254464415,0.5,0.5,,,,,
132,53424,528,0.02668961663292136,0.5,0.5,,,,,
133,53876,532,0.038088220085182596,0.0,0.0,,,,,
134,54264,536,0.02669624208146307,0.75,0.75,,,,,
135,54620,540,0.04116483277454502,0.25,0.25,,,,,
136,55072,544,0.03977263650980604,0.0,0.0,,,,,
137,55460,548,0.026903625114735135,0.5,0.5,0.03313045246611855,0.25,0.25,,
138,55880,552,0.02510565622946825,0.75,0.75,,,,,
