,model,class,f1score,loss,accuracy,train_time
0,bertin-base,ideology-multiclass,0.3925,0.8267509487602446,0.3925,2023-05-17 20:15:50.151818
1,newtral-xlm,ideology-multiclass,0.4000000000000001,0.5317269118626913,0.4,2023-05-17 20:15:50.151818
2,xml-roberta-base,ideology-multiclass,0.1222222222222222,0.6940428868929545,0.1222222222222222,
3,beto-base-uncased,ideology-multiclass,0.4475,0.4973551917076111,0.4475,2023-05-17 20:15:50.151818
4,roberta,ideology-multiclass,0.4025,0.9446150802241432,0.4025,2023-05-17 20:15:50.151818
5,beto-base-cased,ideology-multiclass,0.4836111111111111,1.4521084455649058,0.4836111111111111,2023-05-18 10:34:41.219942
